<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,1,20180903,100000,108960.0000000,108970.0000000,108660.0000000,108880.0000000,2249
SPFB.RTS-9.18,1,20180903,100100,108880.0000000,108940.0000000,108810.0000000,108820.0000000,1687
SPFB.RTS-9.18,1,20180903,100200,108810.0000000,108930.0000000,108810.0000000,108900.0000000,845
SPFB.RTS-9.18,1,20180903,100300,108910.0000000,108990.0000000,108880.0000000,108890.0000000,1189
SPFB.RTS-9.18,1,20180903,100400,108880.0000000,109050.0000000,108870.0000000,109050.0000000,1264
SPFB.RTS-9.18,1,20180903,100500,109030.0000000,109050.0000000,108890.0000000,109020.0000000,987
SPFB.RTS-9.18,1,20180903,100600,109010.0000000,109020.0000000,108950.0000000,108970.0000000,577
SPFB.RTS-9.18,1,20180903,100700,108960.0000000,109010.0000000,108920.0000000,109000.0000000,536
SPFB.RTS-9.18,1,20180903,100800,108990.0000000,109250.0000000,108990.0000000,109240.0000000,1978
SPFB.RTS-9.18,1,20180903,100900,109240.0000000,109280.0000000,109190.0000000,109250.0000000,1164
SPFB.RTS-9.18,1,20180903,101000,109250.0000000,109270.0000000,109160.0000000,109170.0000000,603
SPFB.RTS-9.18,1,20180903,101100,109170.0000000,109220.0000000,109150.0000000,109180.0000000,418
SPFB.RTS-9.18,1,20180903,101200,109170.0000000,109250.0000000,109140.0000000,109170.0000000,707
SPFB.RTS-9.18,1,20180903,101300,109160.0000000,109230.0000000,109100.0000000,109190.0000000,599
SPFB.RTS-9.18,1,20180903,101400,109170.0000000,109270.0000000,109150.0000000,109220.0000000,530
SPFB.RTS-9.18,1,20180903,101500,109220.0000000,109260.0000000,109150.0000000,109240.0000000,413
SPFB.RTS-9.18,1,20180903,101600,109250.0000000,109250.0000000,109120.0000000,109140.0000000,665
SPFB.RTS-9.18,1,20180903,101700,109140.0000000,109150.0000000,109050.0000000,109070.0000000,671
SPFB.RTS-9.18,1,20180903,101800,109060.0000000,109070.0000000,108960.0000000,109010.0000000,882
SPFB.RTS-9.18,1,20180903,101900,108990.0000000,109040.0000000,108880.0000000,108970.0000000,1540
SPFB.RTS-9.18,1,20180903,102000,108950.0000000,108960.0000000,108830.0000000,108880.0000000,1333
SPFB.RTS-9.18,1,20180903,102100,108880.0000000,109050.0000000,108850.0000000,109010.0000000,824
SPFB.RTS-9.18,1,20180903,102200,109020.0000000,109100.0000000,108950.0000000,108970.0000000,559
SPFB.RTS-9.18,1,20180903,102300,108970.0000000,109050.0000000,108950.0000000,109050.0000000,299
SPFB.RTS-9.18,1,20180903,102400,109060.0000000,109060.0000000,108940.0000000,108960.0000000,643
SPFB.RTS-9.18,1,20180903,102500,108950.0000000,109030.0000000,108920.0000000,108970.0000000,574
SPFB.RTS-9.18,1,20180903,102600,108960.0000000,108970.0000000,108770.0000000,108770.0000000,1000
SPFB.RTS-9.18,1,20180903,102700,108770.0000000,108840.0000000,108740.0000000,108760.0000000,630
SPFB.RTS-9.18,1,20180903,102800,108760.0000000,108810.0000000,108740.0000000,108810.0000000,596
SPFB.RTS-9.18,1,20180903,102900,108820.0000000,108880.0000000,108780.0000000,108810.0000000,519
SPFB.RTS-9.18,1,20180903,103000,108800.0000000,108820.0000000,108690.0000000,108800.0000000,1204
SPFB.RTS-9.18,1,20180903,103100,108790.0000000,108910.0000000,108760.0000000,108890.0000000,758
SPFB.RTS-9.18,1,20180903,103200,108900.0000000,109010.0000000,108890.0000000,109000.0000000,1061
SPFB.RTS-9.18,1,20180903,103300,109000.0000000,109030.0000000,108930.0000000,108940.0000000,471
SPFB.RTS-9.18,1,20180903,103400,108940.0000000,109090.0000000,108930.0000000,109060.0000000,652
SPFB.RTS-9.18,1,20180903,103500,109060.0000000,109090.0000000,108990.0000000,109000.0000000,371
SPFB.RTS-9.18,1,20180903,103600,108990.0000000,109020.0000000,108930.0000000,108950.0000000,372
SPFB.RTS-9.18,1,20180903,103700,108960.0000000,108990.0000000,108870.0000000,108960.0000000,469
SPFB.RTS-9.18,1,20180903,103800,108960.0000000,109050.0000000,108930.0000000,108940.0000000,340
SPFB.RTS-9.18,1,20180903,103900,108940.0000000,108980.0000000,108910.0000000,108930.0000000,227
SPFB.RTS-9.18,1,20180903,104000,108920.0000000,109040.0000000,108920.0000000,109010.0000000,290
SPFB.RTS-9.18,1,20180903,104100,109010.0000000,109050.0000000,108970.0000000,109030.0000000,278
SPFB.RTS-9.18,1,20180903,104200,109040.0000000,109200.0000000,109030.0000000,109140.0000000,1024
SPFB.RTS-9.18,1,20180903,104300,109140.0000000,109160.0000000,109120.0000000,109130.0000000,272
SPFB.RTS-9.18,1,20180903,104400,109130.0000000,109190.0000000,109090.0000000,109110.0000000,400
SPFB.RTS-9.18,1,20180903,104500,109110.0000000,109120.0000000,109010.0000000,109030.0000000,368
SPFB.RTS-9.18,1,20180903,104600,109030.0000000,109050.0000000,108980.0000000,109020.0000000,215
SPFB.RTS-9.18,1,20180903,104700,109030.0000000,109040.0000000,108950.0000000,108960.0000000,241
SPFB.RTS-9.18,1,20180903,104800,108970.0000000,109080.0000000,108950.0000000,109020.0000000,812
SPFB.RTS-9.18,1,20180903,104900,109030.0000000,109150.0000000,109020.0000000,109090.0000000,457
SPFB.RTS-9.18,1,20180903,105000,109090.0000000,109110.0000000,109010.0000000,109080.0000000,444
SPFB.RTS-9.18,1,20180903,105100,109090.0000000,109090.0000000,109000.0000000,109060.0000000,236
SPFB.RTS-9.18,1,20180903,105200,109050.0000000,109050.0000000,108960.0000000,108970.0000000,228
SPFB.RTS-9.18,1,20180903,105300,108980.0000000,109010.0000000,108960.0000000,109010.0000000,253
SPFB.RTS-9.18,1,20180903,105400,109000.0000000,109010.0000000,108930.0000000,108970.0000000,247
SPFB.RTS-9.18,1,20180903,105500,108980.0000000,108980.0000000,108930.0000000,108970.0000000,285
SPFB.RTS-9.18,1,20180903,105600,108980.0000000,109050.0000000,108930.0000000,109020.0000000,402
SPFB.RTS-9.18,1,20180903,105700,109020.0000000,109050.0000000,109000.0000000,109010.0000000,129
SPFB.RTS-9.18,1,20180903,105800,109020.0000000,109020.0000000,109000.0000000,109000.0000000,58
SPFB.RTS-9.18,1,20180903,105900,109000.0000000,109040.0000000,108970.0000000,109040.0000000,143
SPFB.RTS-9.18,1,20180903,110000,109040.0000000,109040.0000000,108920.0000000,108920.0000000,373
