<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;5;20180903;174000;107580.0000000;107580.0000000;107300.0000000;107400.0000000;17
SPFB.RTS-12.18;5;20180903;174500;107310.0000000;107360.0000000;107200.0000000;107240.0000000;72
SPFB.RTS-12.18;5;20180903;175000;107350.0000000;107390.0000000;107350.0000000;107390.0000000;2
SPFB.RTS-12.18;5;20180903;175500;107430.0000000;107470.0000000;107430.0000000;107460.0000000;4
SPFB.RTS-12.18;5;20180903;180000;107310.0000000;107430.0000000;107260.0000000;107430.0000000;7
SPFB.RTS-12.18;5;20180903;180500;107360.0000000;107360.0000000;107360.0000000;107360.0000000;1
SPFB.RTS-12.18;5;20180903;181000;107310.0000000;107310.0000000;107260.0000000;107260.0000000;2
SPFB.RTS-12.18;5;20180903;181500;107400.0000000;107400.0000000;107400.0000000;107400.0000000;1
SPFB.RTS-12.18;5;20180903;182500;107320.0000000;107320.0000000;107260.0000000;107300.0000000;6
SPFB.RTS-12.18;5;20180903;183000;107250.0000000;107250.0000000;107210.0000000;107210.0000000;2
SPFB.RTS-12.18;5;20180903;183500;107260.0000000;107260.0000000;107250.0000000;107250.0000000;2
SPFB.RTS-12.18;5;20180903;184000;107450.0000000;107530.0000000;107430.0000000;107530.0000000;9
SPFB.RTS-12.18;5;20180903;190500;107480.0000000;107490.0000000;107480.0000000;107490.0000000;4
SPFB.RTS-12.18;5;20180903;191000;107530.0000000;107600.0000000;107510.0000000;107510.0000000;24
SPFB.RTS-12.18;5;20180903;191500;107500.0000000;107500.0000000;107410.0000000;107410.0000000;6
SPFB.RTS-12.18;5;20180903;193500;107600.0000000;107600.0000000;107550.0000000;107550.0000000;2
SPFB.RTS-12.18;5;20180903;194000;107550.0000000;107550.0000000;107550.0000000;107550.0000000;1
SPFB.RTS-12.18;5;20180903;195000;107580.0000000;107580.0000000;107580.0000000;107580.0000000;1
SPFB.RTS-12.18;5;20180903;200000;107600.0000000;107600.0000000;107560.0000000;107570.0000000;3
SPFB.RTS-12.18;5;20180903;201500;107680.0000000;107790.0000000;107680.0000000;107770.0000000;8
SPFB.RTS-12.18;5;20180903;205000;107620.0000000;107620.0000000;107620.0000000;107620.0000000;1
SPFB.RTS-12.18;5;20180903;214000;107610.0000000;107610.0000000;107610.0000000;107610.0000000;1
SPFB.RTS-12.18;5;20180903;214500;107600.0000000;107600.0000000;107600.0000000;107600.0000000;3
SPFB.RTS-12.18;5;20180903;215500;107570.0000000;107570.0000000;107560.0000000;107560.0000000;4
SPFB.RTS-12.18;5;20180903;234000;107620.0000000;107620.0000000;107620.0000000;107620.0000000;5
SPFB.RTS-12.18;5;20180903;234500;107620.0000000;107620.0000000;107620.0000000;107620.0000000;1
SPFB.RTS-12.18;5;20180904;100500;107580.0000000;107580.0000000;107540.0000000;107540.0000000;6
SPFB.RTS-12.18;5;20180904;101000;107700.0000000;107700.0000000;107610.0000000;107610.0000000;3
SPFB.RTS-12.18;5;20180904;101500;107500.0000000;107570.0000000;107500.0000000;107570.0000000;2
SPFB.RTS-12.18;5;20180904;102000;107560.0000000;107640.0000000;107560.0000000;107640.0000000;7
SPFB.RTS-12.18;5;20180904;102500;107670.0000000;107670.0000000;107490.0000000;107490.0000000;101
SPFB.RTS-12.18;5;20180904;103000;107530.0000000;107550.0000000;107490.0000000;107550.0000000;73
SPFB.RTS-12.18;5;20180904;103500;107640.0000000;107800.0000000;107640.0000000;107760.0000000;7
SPFB.RTS-12.18;5;20180904;104000;107710.0000000;107790.0000000;107710.0000000;107790.0000000;2
