<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,5,20180903,100000,108960.0000000,109050.0000000,108660.0000000,109050.0000000,7234
SPFB.RTS-9.18,5,20180903,100500,109030.0000000,109280.0000000,108890.0000000,109250.0000000,5242
SPFB.RTS-9.18,5,20180903,101000,109250.0000000,109270.0000000,109100.0000000,109220.0000000,2857
SPFB.RTS-9.18,5,20180903,101500,109220.0000000,109260.0000000,108880.0000000,108970.0000000,4171
SPFB.RTS-9.18,5,20180903,102000,108950.0000000,109100.0000000,108830.0000000,108960.0000000,3658
SPFB.RTS-9.18,5,20180903,102500,108950.0000000,109030.0000000,108740.0000000,108810.0000000,3319
SPFB.RTS-9.18,5,20180903,103000,108800.0000000,109090.0000000,108690.0000000,109060.0000000,4146
SPFB.RTS-9.18,5,20180903,103500,109060.0000000,109090.0000000,108870.0000000,108930.0000000,1779
SPFB.RTS-9.18,5,20180903,104000,108920.0000000,109200.0000000,108920.0000000,109110.0000000,2264
SPFB.RTS-9.18,5,20180903,104500,109110.0000000,109150.0000000,108950.0000000,109090.0000000,2093
SPFB.RTS-9.18,5,20180903,105000,109090.0000000,109110.0000000,108930.0000000,108970.0000000,1408
SPFB.RTS-9.18,5,20180903,105500,108980.0000000,109050.0000000,108930.0000000,109040.0000000,1017
SPFB.RTS-9.18,5,20180903,110000,109040.0000000,109240.0000000,108900.0000000,109120.0000000,3430
SPFB.RTS-9.18,5,20180903,110500,109110.0000000,109340.0000000,109100.0000000,109260.0000000,3198
SPFB.RTS-9.18,5,20180903,111000,109270.0000000,109340.0000000,109140.0000000,109190.0000000,1899
SPFB.RTS-9.18,5,20180903,111500,109190.0000000,109210.0000000,108780.0000000,108840.0000000,4280
SPFB.RTS-9.18,5,20180903,112000,108830.0000000,108950.0000000,108780.0000000,108810.0000000,2018
SPFB.RTS-9.18,5,20180903,112500,108810.0000000,108950.0000000,108680.0000000,108910.0000000,3045
SPFB.RTS-9.18,5,20180903,113000,108900.0000000,108980.0000000,108860.0000000,108910.0000000,1634
SPFB.RTS-9.18,5,20180903,113500,108910.0000000,108960.0000000,108870.0000000,108930.0000000,669
SPFB.RTS-9.18,5,20180903,114000,108940.0000000,108980.0000000,108810.0000000,108810.0000000,1447
SPFB.RTS-9.18,5,20180903,114500,108810.0000000,108870.0000000,108730.0000000,108810.0000000,2001
SPFB.RTS-9.18,5,20180903,115000,108810.0000000,108910.0000000,108800.0000000,108890.0000000,878
SPFB.RTS-9.18,5,20180903,115500,108880.0000000,108890.0000000,108550.0000000,108570.0000000,4519
SPFB.RTS-9.18,5,20180903,120000,108580.0000000,108720.0000000,108520.0000000,108570.0000000,2758
SPFB.RTS-9.18,5,20180903,120500,108560.0000000,108590.0000000,108430.0000000,108590.0000000,4497
SPFB.RTS-9.18,5,20180903,121000,108590.0000000,108720.0000000,108550.0000000,108700.0000000,2027
SPFB.RTS-9.18,5,20180903,121500,108700.0000000,108770.0000000,108640.0000000,108680.0000000,1996
SPFB.RTS-9.18,5,20180903,122000,108670.0000000,108750.0000000,108610.0000000,108690.0000000,1045
SPFB.RTS-9.18,5,20180903,122500,108700.0000000,108730.0000000,108620.0000000,108640.0000000,712
SPFB.RTS-9.18,5,20180903,123000,108640.0000000,108720.0000000,108580.0000000,108680.0000000,698
SPFB.RTS-9.18,5,20180903,123500,108670.0000000,108700.0000000,108580.0000000,108650.0000000,738
SPFB.RTS-9.18,5,20180903,124000,108630.0000000,108630.0000000,108380.0000000,108410.0000000,2335
SPFB.RTS-9.18,5,20180903,124500,108400.0000000,108490.0000000,108380.0000000,108460.0000000,1135
SPFB.RTS-9.18,5,20180903,125000,108450.0000000,108450.0000000,108320.0000000,108410.0000000,1883
SPFB.RTS-9.18,5,20180903,125500,108420.0000000,108490.0000000,108390.0000000,108410.0000000,725
SPFB.RTS-9.18,5,20180903,130000,108400.0000000,108430.0000000,108250.0000000,108370.0000000,3311
SPFB.RTS-9.18,5,20180903,130500,108370.0000000,108390.0000000,108290.0000000,108370.0000000,1065
SPFB.RTS-9.18,5,20180903,131000,108390.0000000,108540.0000000,108350.0000000,108500.0000000,2055
SPFB.RTS-9.18,5,20180903,131500,108500.0000000,108570.0000000,108430.0000000,108530.0000000,1578
SPFB.RTS-9.18,5,20180903,132000,108520.0000000,108630.0000000,108490.0000000,108550.0000000,1531
SPFB.RTS-9.18,5,20180903,132500,108550.0000000,108570.0000000,108460.0000000,108520.0000000,801
SPFB.RTS-9.18,5,20180903,133000,108520.0000000,108550.0000000,108460.0000000,108470.0000000,899
SPFB.RTS-9.18,5,20180903,133500,108470.0000000,108480.0000000,108310.0000000,108370.0000000,2117
SPFB.RTS-9.18,5,20180903,134000,108370.0000000,108500.0000000,108330.0000000,108470.0000000,909
SPFB.RTS-9.18,5,20180903,134500,108480.0000000,108590.0000000,108450.0000000,108500.0000000,1166
SPFB.RTS-9.18,5,20180903,135000,108490.0000000,108550.0000000,108460.0000000,108500.0000000,682
SPFB.RTS-9.18,5,20180903,135500,108500.0000000,108620.0000000,108460.0000000,108620.0000000,854
SPFB.RTS-9.18,5,20180903,140500,108620.0000000,108690.0000000,108520.0000000,108520.0000000,2569
SPFB.RTS-9.18,5,20180903,141000,108520.0000000,108600.0000000,108480.0000000,108560.0000000,1652
SPFB.RTS-9.18,5,20180903,141500,108580.0000000,108630.0000000,108530.0000000,108530.0000000,1042
SPFB.RTS-9.18,5,20180903,142000,108520.0000000,108620.0000000,108510.0000000,108600.0000000,959
