<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-3.18,15,20171201,100000,113010.0000000,113490.0000000,113000.0000000,113330.0000000,47
SPFB.RTS-3.18,15,20171201,101500,113290.0000000,113430.0000000,113200.0000000,113290.0000000,33
SPFB.RTS-3.18,15,20171201,103000,113300.0000000,113300.0000000,112970.0000000,113050.0000000,43
SPFB.RTS-3.18,15,20171201,104500,113000.0000000,113080.0000000,112900.0000000,113050.0000000,18
SPFB.RTS-3.18,15,20171201,110000,113090.0000000,113360.0000000,112930.0000000,113200.0000000,65
SPFB.RTS-3.18,15,20171201,111500,113210.0000000,113220.0000000,112940.0000000,113120.0000000,29
SPFB.RTS-3.18,15,20171201,113000,112990.0000000,113020.0000000,112700.0000000,112720.0000000,141
SPFB.RTS-3.18,15,20171201,114500,112720.0000000,112820.0000000,112690.0000000,112770.0000000,247
SPFB.RTS-3.18,15,20171201,120000,112760.0000000,112760.0000000,112500.0000000,112500.0000000,262
SPFB.RTS-3.18,15,20171201,121500,112470.0000000,112560.0000000,112470.0000000,112520.0000000,100
SPFB.RTS-3.18,15,20171201,123000,112730.0000000,112800.0000000,112630.0000000,112630.0000000,11
SPFB.RTS-3.18,15,20171201,124500,112750.0000000,112770.0000000,112740.0000000,112770.0000000,9
SPFB.RTS-3.18,15,20171201,130000,112720.0000000,112910.0000000,112720.0000000,112840.0000000,13
SPFB.RTS-3.18,15,20171201,131500,112920.0000000,113020.0000000,112840.0000000,112840.0000000,35
SPFB.RTS-3.18,15,20171201,133000,112870.0000000,112930.0000000,112770.0000000,112770.0000000,73
SPFB.RTS-3.18,15,20171201,134500,112680.0000000,112700.0000000,112570.0000000,112570.0000000,29
SPFB.RTS-3.18,15,20171201,140000,112590.0000000,112720.0000000,112580.0000000,112620.0000000,64
SPFB.RTS-3.18,15,20171201,141500,112610.0000000,112620.0000000,112580.0000000,112580.0000000,7
SPFB.RTS-3.18,15,20171201,143000,112730.0000000,112770.0000000,112640.0000000,112640.0000000,31
SPFB.RTS-3.18,15,20171201,144500,112520.0000000,112630.0000000,112430.0000000,112590.0000000,62
SPFB.RTS-3.18,15,20171201,150000,112690.0000000,112780.0000000,112690.0000000,112700.0000000,30
SPFB.RTS-3.18,15,20171201,151500,112680.0000000,112690.0000000,112660.0000000,112660.0000000,5
SPFB.RTS-3.18,15,20171201,153000,112780.0000000,112780.0000000,112780.0000000,112780.0000000,1
SPFB.RTS-3.18,15,20171201,154500,112740.0000000,112740.0000000,112740.0000000,112740.0000000,3
SPFB.RTS-3.18,15,20171201,160000,112810.0000000,112830.0000000,112700.0000000,112700.0000000,25
SPFB.RTS-3.18,15,20171201,161500,112710.0000000,112760.0000000,112710.0000000,112760.0000000,44
SPFB.RTS-3.18,15,20171201,163000,112760.0000000,112820.0000000,112760.0000000,112760.0000000,16
SPFB.RTS-3.18,15,20171201,164500,112790.0000000,112860.0000000,112790.0000000,112790.0000000,6
SPFB.RTS-3.18,15,20171201,170000,112940.0000000,113320.0000000,112940.0000000,113220.0000000,62
SPFB.RTS-3.18,15,20171201,171500,113240.0000000,113360.0000000,113210.0000000,113340.0000000,20
SPFB.RTS-3.18,15,20171201,173000,113330.0000000,113330.0000000,113220.0000000,113230.0000000,13
SPFB.RTS-3.18,15,20171201,174500,113260.0000000,113380.0000000,113260.0000000,113290.0000000,15
SPFB.RTS-3.18,15,20171201,180000,113380.0000000,113500.0000000,113250.0000000,113290.0000000,37
SPFB.RTS-3.18,15,20171201,181500,113330.0000000,113420.0000000,113250.0000000,113320.0000000,17
SPFB.RTS-3.18,15,20171201,183000,113280.0000000,113280.0000000,113180.0000000,113180.0000000,54
SPFB.RTS-3.18,15,20171201,190000,113130.0000000,113160.0000000,112690.0000000,112690.0000000,19
SPFB.RTS-3.18,15,20171201,191500,112620.0000000,112650.0000000,111410.0000000,111540.0000000,451
SPFB.RTS-3.18,15,20171201,193000,111640.0000000,112020.0000000,111470.0000000,112000.0000000,69
SPFB.RTS-3.18,15,20171201,194500,111940.0000000,111940.0000000,110890.0000000,111090.0000000,524
SPFB.RTS-3.18,15,20171201,200000,111000.0000000,111500.0000000,110990.0000000,111440.0000000,463
SPFB.RTS-3.18,15,20171201,201500,111390.0000000,111490.0000000,111040.0000000,111080.0000000,171
SPFB.RTS-3.18,15,20171201,203000,111110.0000000,111370.0000000,111110.0000000,111370.0000000,85
SPFB.RTS-3.18,15,20171201,204500,111450.0000000,111550.0000000,111410.0000000,111410.0000000,37
SPFB.RTS-3.18,15,20171201,210000,111460.0000000,111510.0000000,111430.0000000,111430.0000000,30
