<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180903,163000,108740.0000000,108840.0000000,108620.0000000,108630.0000000,5518
SPFB.RTS-9.18,15,20180903,164500,108630.0000000,108720.0000000,108570.0000000,108710.0000000,2907
SPFB.RTS-9.18,15,20180903,170000,108710.0000000,108730.0000000,108410.0000000,108430.0000000,4905
SPFB.RTS-9.18,15,20180903,171500,108430.0000000,108550.0000000,108350.0000000,108510.0000000,4136
SPFB.RTS-9.18,15,20180903,173000,108520.0000000,108610.0000000,108070.0000000,108210.0000000,12626
SPFB.RTS-9.18,15,20180903,174500,108210.0000000,108370.0000000,108160.0000000,108350.0000000,6944
SPFB.RTS-9.18,15,20180903,180000,108350.0000000,108400.0000000,108150.0000000,108270.0000000,5913
SPFB.RTS-9.18,15,20180903,181500,108280.0000000,108320.0000000,108130.0000000,108190.0000000,4636
SPFB.RTS-9.18,15,20180903,183000,108200.0000000,108500.0000000,108140.0000000,108480.0000000,8258
SPFB.RTS-9.18,15,20180903,190000,108480.0000000,108530.0000000,108350.0000000,108380.0000000,2695
SPFB.RTS-9.18,15,20180903,191500,108380.0000000,108560.0000000,108380.0000000,108470.0000000,1425
SPFB.RTS-9.18,15,20180903,193000,108470.0000000,108600.0000000,108470.0000000,108490.0000000,1385
SPFB.RTS-9.18,15,20180903,194500,108490.0000000,108620.0000000,108480.0000000,108520.0000000,1179
SPFB.RTS-9.18,15,20180903,200000,108540.0000000,108760.0000000,108510.0000000,108670.0000000,2716
SPFB.RTS-9.18,15,20180903,201500,108670.0000000,108710.0000000,108590.0000000,108620.0000000,2149
SPFB.RTS-9.18,15,20180903,203000,108630.0000000,108650.0000000,108570.0000000,108630.0000000,593
SPFB.RTS-9.18,15,20180903,204500,108610.0000000,108620.0000000,108550.0000000,108580.0000000,974
SPFB.RTS-9.18,15,20180903,210000,108580.0000000,108600.0000000,108560.0000000,108590.0000000,340
SPFB.RTS-9.18,15,20180903,211500,108600.0000000,108600.0000000,108580.0000000,108590.0000000,211
SPFB.RTS-9.18,15,20180903,213000,108590.0000000,108600.0000000,108530.0000000,108550.0000000,622
SPFB.RTS-9.18,15,20180903,214500,108550.0000000,108580.0000000,108530.0000000,108540.0000000,258
SPFB.RTS-9.18,15,20180903,220000,108540.0000000,108560.0000000,108500.0000000,108560.0000000,467
SPFB.RTS-9.18,15,20180903,221500,108550.0000000,108580.0000000,108530.0000000,108560.0000000,304
SPFB.RTS-9.18,15,20180903,223000,108550.0000000,108590.0000000,108550.0000000,108590.0000000,437
SPFB.RTS-9.18,15,20180903,224500,108590.0000000,108590.0000000,108520.0000000,108550.0000000,335
SPFB.RTS-9.18,15,20180903,230000,108560.0000000,108600.0000000,108520.0000000,108580.0000000,397
SPFB.RTS-9.18,15,20180903,231500,108580.0000000,108640.0000000,108570.0000000,108630.0000000,548
