<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-6.18,5,20180301,100000,127770.0000000,127800.0000000,127670.0000000,127670.0000000,75
SPFB.RTS-6.18,5,20180301,100500,127600.0000000,127770.0000000,127530.0000000,127710.0000000,109
SPFB.RTS-6.18,5,20180301,101000,127670.0000000,127730.0000000,127610.0000000,127660.0000000,29
SPFB.RTS-6.18,5,20180301,101500,127680.0000000,127850.0000000,127680.0000000,127800.0000000,68
SPFB.RTS-6.18,5,20180301,102000,127820.0000000,127930.0000000,127820.0000000,127930.0000000,25
SPFB.RTS-6.18,5,20180301,102500,127950.0000000,128050.0000000,127850.0000000,127850.0000000,73
SPFB.RTS-6.18,5,20180301,103000,127800.0000000,128000.0000000,127800.0000000,127980.0000000,13
SPFB.RTS-6.18,5,20180301,103500,127950.0000000,127950.0000000,127860.0000000,127860.0000000,3
SPFB.RTS-6.18,5,20180301,104000,127970.0000000,127970.0000000,127800.0000000,127820.0000000,32
SPFB.RTS-6.18,5,20180301,104500,127800.0000000,127920.0000000,127800.0000000,127920.0000000,14
SPFB.RTS-6.18,5,20180301,105000,127990.0000000,128000.0000000,127960.0000000,127960.0000000,8
SPFB.RTS-6.18,5,20180301,105500,127910.0000000,128240.0000000,127910.0000000,128240.0000000,36
SPFB.RTS-6.18,5,20180301,110000,128130.0000000,128260.0000000,128070.0000000,128070.0000000,11
SPFB.RTS-6.18,5,20180301,110500,128100.0000000,128120.0000000,127990.0000000,127990.0000000,4
SPFB.RTS-6.18,5,20180301,111000,128030.0000000,128030.0000000,127960.0000000,127960.0000000,6
SPFB.RTS-6.18,5,20180301,111500,127960.0000000,128000.0000000,127960.0000000,127980.0000000,10
SPFB.RTS-6.18,5,20180301,112000,127890.0000000,127900.0000000,127750.0000000,127800.0000000,44
SPFB.RTS-6.18,5,20180301,112500,127750.0000000,127760.0000000,127650.0000000,127750.0000000,36
SPFB.RTS-6.18,5,20180301,113000,127730.0000000,127810.0000000,127710.0000000,127770.0000000,12
SPFB.RTS-6.18,5,20180301,113500,127790.0000000,127830.0000000,127730.0000000,127830.0000000,39
SPFB.RTS-6.18,5,20180301,114000,127860.0000000,127920.0000000,127860.0000000,127920.0000000,11
SPFB.RTS-6.18,5,20180301,114500,127990.0000000,128110.0000000,127990.0000000,128110.0000000,26
SPFB.RTS-6.18,5,20180301,115000,128010.0000000,128010.0000000,127910.0000000,128000.0000000,7
SPFB.RTS-6.18,5,20180301,115500,128030.0000000,128040.0000000,128000.0000000,128000.0000000,8
SPFB.RTS-6.18,5,20180301,120000,128010.0000000,128110.0000000,128010.0000000,128110.0000000,2
SPFB.RTS-6.18,5,20180301,120500,127990.0000000,127990.0000000,127920.0000000,127940.0000000,22
SPFB.RTS-6.18,5,20180301,121000,127910.0000000,127910.0000000,127750.0000000,127750.0000000,13
SPFB.RTS-6.18,5,20180301,121500,127740.0000000,127800.0000000,127690.0000000,127800.0000000,150
SPFB.RTS-6.18,5,20180301,122000,127800.0000000,127860.0000000,127800.0000000,127840.0000000,78
SPFB.RTS-6.18,5,20180301,122500,127870.0000000,127910.0000000,127840.0000000,127900.0000000,18
SPFB.RTS-6.18,5,20180301,123000,127740.0000000,127870.0000000,127740.0000000,127770.0000000,8
SPFB.RTS-6.18,5,20180301,123500,127740.0000000,127740.0000000,127510.0000000,127630.0000000,67
SPFB.RTS-6.18,5,20180301,124000,127510.0000000,127550.0000000,127340.0000000,127370.0000000,143
SPFB.RTS-6.18,5,20180301,124500,127410.0000000,127410.0000000,127350.0000000,127390.0000000,20
SPFB.RTS-6.18,5,20180301,125000,127380.0000000,127490.0000000,127380.0000000,127470.0000000,7
SPFB.RTS-6.18,5,20180301,125500,127450.0000000,127540.0000000,127450.0000000,127470.0000000,7
SPFB.RTS-6.18,5,20180301,130000,127510.0000000,127540.0000000,127470.0000000,127540.0000000,16
SPFB.RTS-6.18,5,20180301,130500,127420.0000000,127450.0000000,127420.0000000,127450.0000000,2
SPFB.RTS-6.18,5,20180301,131000,127420.0000000,127430.0000000,127330.0000000,127330.0000000,33
SPFB.RTS-6.18,5,20180301,131500,127330.0000000,127370.0000000,127300.0000000,127300.0000000,244
SPFB.RTS-6.18,5,20180301,132000,127260.0000000,127300.0000000,127210.0000000,127300.0000000,354
SPFB.RTS-6.18,5,20180301,132500,127300.0000000,127370.0000000,127300.0000000,127370.0000000,10
SPFB.RTS-6.18,5,20180301,133000,127400.0000000,127410.0000000,127350.0000000,127350.0000000,9
SPFB.RTS-6.18,5,20180301,133500,127350.0000000,127390.0000000,127350.0000000,127380.0000000,7
SPFB.RTS-6.18,5,20180301,134000,127380.0000000,127380.0000000,127320.0000000,127320.0000000,32
SPFB.RTS-6.18,5,20180301,134500,127400.0000000,127420.0000000,127310.0000000,127310.0000000,29
SPFB.RTS-6.18,5,20180301,135000,127350.0000000,127410.0000000,127350.0000000,127410.0000000,14
SPFB.RTS-6.18,5,20180301,135500,127400.0000000,127410.0000000,127320.0000000,127320.0000000,47
SPFB.RTS-6.18,5,20180301,140500,127370.0000000,127470.0000000,127370.0000000,127410.0000000,36
SPFB.RTS-6.18,5,20180301,141000,127400.0000000,127400.0000000,127370.0000000,127370.0000000,4
SPFB.RTS-6.18,5,20180301,141500,127340.0000000,127400.0000000,127340.0000000,127340.0000000,15
SPFB.RTS-6.18,5,20180301,142000,127380.0000000,127390.0000000,127340.0000000,127340.0000000,12
SPFB.RTS-6.18,5,20180301,142500,127330.0000000,127340.0000000,127330.0000000,127340.0000000,2
SPFB.RTS-6.18,5,20180301,143000,127340.0000000,127340.0000000,127340.0000000,127340.0000000,1
SPFB.RTS-6.18,5,20180301,143500,127230.0000000,127230.0000000,127100.0000000,127160.0000000,42
SPFB.RTS-6.18,5,20180301,144000,127170.0000000,127170.0000000,127100.0000000,127100.0000000,16
SPFB.RTS-6.18,5,20180301,144500,127070.0000000,127150.0000000,127040.0000000,127040.0000000,16
SPFB.RTS-6.18,5,20180301,145000,127030.0000000,127030.0000000,126920.0000000,127000.0000000,167
SPFB.RTS-6.18,5,20180301,145500,126930.0000000,126930.0000000,126850.0000000,126910.0000000,7
SPFB.RTS-6.18,5,20180301,150000,126950.0000000,126950.0000000,126910.0000000,126910.0000000,53
SPFB.RTS-6.18,5,20180301,150500,126930.0000000,127000.0000000,126930.0000000,127000.0000000,5
SPFB.RTS-6.18,5,20180301,151000,127040.0000000,127040.0000000,127010.0000000,127010.0000000,25
SPFB.RTS-6.18,5,20180301,151500,126990.0000000,127060.0000000,126990.0000000,127010.0000000,17
SPFB.RTS-6.18,5,20180301,152000,127100.0000000,127200.0000000,127100.0000000,127150.0000000,11
SPFB.RTS-6.18,5,20180301,152500,127190.0000000,127260.0000000,127190.0000000,127210.0000000,27
SPFB.RTS-6.18,5,20180301,153000,127250.0000000,127470.0000000,127230.0000000,127400.0000000,50
SPFB.RTS-6.18,5,20180301,153500,127350.0000000,127430.0000000,127350.0000000,127430.0000000,3
SPFB.RTS-6.18,5,20180301,154000,127360.0000000,127360.0000000,127360.0000000,127360.0000000,2
SPFB.RTS-6.18,5,20180301,154500,127270.0000000,127270.0000000,127270.0000000,127270.0000000,10
SPFB.RTS-6.18,5,20180301,155500,127270.0000000,127370.0000000,127240.0000000,127240.0000000,8
SPFB.RTS-6.18,5,20180301,160000,127270.0000000,127290.0000000,127200.0000000,127200.0000000,17
SPFB.RTS-6.18,5,20180301,160500,127190.0000000,127280.0000000,127130.0000000,127280.0000000,35
