<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-6.18,15,20180301,100000,127770.0000000,127800.0000000,127530.0000000,127660.0000000,213
SPFB.RTS-6.18,15,20180301,101500,127680.0000000,128050.0000000,127680.0000000,127850.0000000,166
SPFB.RTS-6.18,15,20180301,103000,127800.0000000,128000.0000000,127800.0000000,127820.0000000,48
SPFB.RTS-6.18,15,20180301,104500,127800.0000000,128240.0000000,127800.0000000,128240.0000000,58
SPFB.RTS-6.18,15,20180301,110000,128130.0000000,128260.0000000,127960.0000000,127960.0000000,21
SPFB.RTS-6.18,15,20180301,111500,127960.0000000,128000.0000000,127650.0000000,127750.0000000,90
SPFB.RTS-6.18,15,20180301,113000,127730.0000000,127920.0000000,127710.0000000,127920.0000000,62
SPFB.RTS-6.18,15,20180301,114500,127990.0000000,128110.0000000,127910.0000000,128000.0000000,41
SPFB.RTS-6.18,15,20180301,120000,128010.0000000,128110.0000000,127750.0000000,127750.0000000,37
SPFB.RTS-6.18,15,20180301,121500,127740.0000000,127910.0000000,127690.0000000,127900.0000000,246
SPFB.RTS-6.18,15,20180301,123000,127740.0000000,127870.0000000,127340.0000000,127370.0000000,218
SPFB.RTS-6.18,15,20180301,124500,127410.0000000,127540.0000000,127350.0000000,127470.0000000,34
SPFB.RTS-6.18,15,20180301,130000,127510.0000000,127540.0000000,127330.0000000,127330.0000000,51
SPFB.RTS-6.18,15,20180301,131500,127330.0000000,127370.0000000,127210.0000000,127370.0000000,608
SPFB.RTS-6.18,15,20180301,133000,127400.0000000,127410.0000000,127320.0000000,127320.0000000,48
SPFB.RTS-6.18,15,20180301,134500,127400.0000000,127420.0000000,127310.0000000,127320.0000000,90
SPFB.RTS-6.18,15,20180301,140000,127370.0000000,127470.0000000,127370.0000000,127370.0000000,40
SPFB.RTS-6.18,15,20180301,141500,127340.0000000,127400.0000000,127330.0000000,127340.0000000,29
SPFB.RTS-6.18,15,20180301,143000,127340.0000000,127340.0000000,127100.0000000,127100.0000000,59
SPFB.RTS-6.18,15,20180301,144500,127070.0000000,127150.0000000,126850.0000000,126910.0000000,190
SPFB.RTS-6.18,15,20180301,150000,126950.0000000,127040.0000000,126910.0000000,127010.0000000,83
SPFB.RTS-6.18,15,20180301,151500,126990.0000000,127260.0000000,126990.0000000,127210.0000000,55
SPFB.RTS-6.18,15,20180301,153000,127250.0000000,127470.0000000,127230.0000000,127360.0000000,55
SPFB.RTS-6.18,15,20180301,154500,127270.0000000,127370.0000000,127240.0000000,127240.0000000,18
SPFB.RTS-6.18,15,20180301,160000,127270.0000000,127330.0000000,127130.0000000,127330.0000000,66
SPFB.RTS-6.18,15,20180301,161500,127330.0000000,127410.0000000,127170.0000000,127170.0000000,30
SPFB.RTS-6.18,15,20180301,163000,127250.0000000,127840.0000000,127250.0000000,127840.0000000,195
SPFB.RTS-6.18,15,20180301,164500,127740.0000000,128070.0000000,127740.0000000,128000.0000000,362
SPFB.RTS-6.18,15,20180301,170000,128000.0000000,128010.0000000,127600.0000000,127620.0000000,375
SPFB.RTS-6.18,15,20180301,171500,127630.0000000,127830.0000000,127400.0000000,127510.0000000,84
SPFB.RTS-6.18,15,20180301,173000,127560.0000000,127560.0000000,126710.0000000,126850.0000000,358
SPFB.RTS-6.18,15,20180301,174500,126980.0000000,127090.0000000,126580.0000000,127060.0000000,297
SPFB.RTS-6.18,15,20180301,180000,126960.0000000,127260.0000000,126920.0000000,127120.0000000,296
SPFB.RTS-6.18,15,20180301,181500,127170.0000000,127340.0000000,126970.0000000,127300.0000000,138
SPFB.RTS-6.18,15,20180301,183000,127310.0000000,128000.0000000,127260.0000000,127800.0000000,262
