<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-3.18,5,20171204,100000,111940.0000000,112500.0000000,111880.0000000,112480.0000000,125
SPFB.RTS-3.18,5,20171204,100500,112500.0000000,112510.0000000,112250.0000000,112500.0000000,24
SPFB.RTS-3.18,5,20171204,101000,112400.0000000,112400.0000000,112040.0000000,112080.0000000,30
SPFB.RTS-3.18,5,20171204,101500,112100.0000000,112170.0000000,111860.0000000,112000.0000000,43
SPFB.RTS-3.18,5,20171204,102000,111950.0000000,112040.0000000,111740.0000000,111800.0000000,15
SPFB.RTS-3.18,5,20171204,102500,111870.0000000,111920.0000000,111430.0000000,111500.0000000,60
SPFB.RTS-3.18,5,20171204,103000,111420.0000000,111550.0000000,111250.0000000,111500.0000000,79
SPFB.RTS-3.18,5,20171204,103500,111500.0000000,111630.0000000,111500.0000000,111630.0000000,69
SPFB.RTS-3.18,5,20171204,104000,111620.0000000,111620.0000000,111480.0000000,111520.0000000,17
SPFB.RTS-3.18,5,20171204,104500,111400.0000000,111490.0000000,111400.0000000,111490.0000000,14
SPFB.RTS-3.18,5,20171204,105000,111480.0000000,111660.0000000,111480.0000000,111660.0000000,19
SPFB.RTS-3.18,5,20171204,105500,111630.0000000,111640.0000000,111600.0000000,111600.0000000,16
SPFB.RTS-3.18,5,20171204,110000,111670.0000000,111670.0000000,111520.0000000,111570.0000000,61
SPFB.RTS-3.18,5,20171204,110500,111500.0000000,111660.0000000,111500.0000000,111660.0000000,12
SPFB.RTS-3.18,5,20171204,111000,111810.0000000,112000.0000000,111810.0000000,111960.0000000,12
SPFB.RTS-3.18,5,20171204,111500,111860.0000000,112220.0000000,111830.0000000,112220.0000000,91
SPFB.RTS-3.18,5,20171204,112000,112200.0000000,112580.0000000,112200.0000000,112580.0000000,101
SPFB.RTS-3.18,5,20171204,112500,112560.0000000,112560.0000000,112400.0000000,112400.0000000,29
SPFB.RTS-3.18,5,20171204,113000,112300.0000000,112440.0000000,112300.0000000,112440.0000000,62
SPFB.RTS-3.18,5,20171204,113500,112430.0000000,112800.0000000,112400.0000000,112800.0000000,58
SPFB.RTS-3.18,5,20171204,114000,112680.0000000,112680.0000000,112580.0000000,112670.0000000,9
SPFB.RTS-3.18,5,20171204,114500,112560.0000000,112560.0000000,112560.0000000,112560.0000000,1
SPFB.RTS-3.18,5,20171204,115000,112530.0000000,112530.0000000,112530.0000000,112530.0000000,1
SPFB.RTS-3.18,5,20171204,115500,112510.0000000,112600.0000000,112510.0000000,112600.0000000,13
